Parking,,,,,,,,20F Front,,,,,,,20F Rear,,,,,,,45F Front,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TD1_11_20,328.26,-761.341,1.263756676,103.7894261,365315.9068,139714.6952,,328.26,-764.181,1.26373462,103.7894131,365314.4506,139712.2575,,328.26,-770.777,1.263683396,103.7893827,365311.0685,139706.596,,328.26,-765.705,1.263722785,103.7894061,365313.6692,139710.9494
TD1_11_21,328.26,-767.871,1.263705964,103.7893961,365312.5585,139709.0903,,328.26,-770.711,1.263683909,103.789383,365311.1023,139706.6526,,328.26,-777.307,1.263632684,103.7893526,365307.7202,139700.9911,,328.26,-772.235,1.263672073,103.789376,365310.3209,139705.3445
TD1_11_22,328.26,-774.43,1.263655027,103.7893659,365309.1954,139703.4605,,328.26,-777.27,1.263632972,103.7893528,365307.7391,139701.0229,,328.26,-783.866,1.263581748,103.7893224,365304.357,139695.3613,,328.26,-778.794,1.263621136,103.7893458,365306.9577,139699.7148
TD1_11_23,328.26,-780.952,1.263604378,103.7893358,365305.8512,139697.8625,,328.26,-783.792,1.263582322,103.7893228,365304.3949,139695.4248,,328.26,-790.388,1.263531098,103.7892924,365301.0128,139689.7633,,328.26,-785.316,1.263570487,103.7893158,365303.6135,139694.1167
TD1_11_24,328.26,-787.511,1.263553441,103.7893056,365302.488,139692.2327,,328.26,-790.351,1.263531385,103.7892926,365301.0318,139689.795,,328.26,-796.947,1.263480161,103.7892622,365297.6496,139684.1335,,328.26,-791.875,1.26351955,103.7892856,365300.2503,139688.487
TD1_11_25,328.26,-794.041,1.263502729,103.7892756,365299.1397,139686.6278,,328.26,-796.881,1.263480674,103.7892625,365297.6835,139684.1902,,328.26,-803.477,1.263429449,103.7892321,365294.3013,139678.5286,,328.26,-798.405,1.263468838,103.7892555,365296.902,139682.8821
TD1_11_26,328.26,-800.6,1.263451792,103.7892454,365295.7765,139680.998,,328.26,-803.44,1.263429737,103.7892323,365294.3203,139678.5604,,328.26,-810.036,1.263378513,103.7892019,365290.9382,139672.8988,,328.26,-804.964,1.263417901,103.7892253,365293.5389,139677.2523
TD1_11_27,328.26,-807.155,1.263400886,103.7892152,365292.4154,139675.3717,,328.26,-809.995,1.263378831,103.7892021,365290.9592,139672.934,,328.26,-816.591,1.263327607,103.7891717,365287.577,139667.2725,,328.26,-811.519,1.263366996,103.7891951,365290.1777,139671.6259
TD1_11_28,328.26,-813.714,1.263349949,103.789185,365289.0522,139669.7419,,328.26,-816.554,1.263327894,103.7891719,365287.596,139667.3042,,328.26,-823.15,1.26327667,103.7891415,365284.2139,139661.6427,,328.26,-818.078,1.263316059,103.7891649,365286.8146,139665.9961
TD1_11_29,328.26,-820.244,1.263299238,103.7891549,365285.7039,139664.137,,328.26,-823.084,1.263277182,103.7891418,365284.2477,139661.6993,,328.26,-829.68,1.263225958,103.7891115,365280.8656,139656.0378,,328.26,-824.608,1.263265347,103.7891348,365283.4663,139660.3913
TD1_11_30,328.26,-826.803,1.263248301,103.7891247,365282.3408,139658.5072,,328.26,-829.643,1.263226245,103.7891116,365280.8845,139656.0696,,328.26,-836.239,1.263175021,103.7890813,365277.5024,139650.408,,328.26,-831.167,1.26321441,103.7891046,365280.1031,139654.7615
TD1_11_31,328.26,-833.325,1.263197651,103.7890947,365278.9966,139652.9092,,328.26,-836.165,1.263175596,103.7890816,365277.5403,139650.4715,,328.26,-842.761,1.263124372,103.7890512,365274.1582,139644.81,,328.26,-837.689,1.263163761,103.7890746,365276.7589,139649.1634
TD1_11_32,328.26,-839.884,1.263146714,103.7890645,365275.6334,139647.2794,,328.26,-842.724,1.263124659,103.7890514,365274.1772,139644.8418,,328.26,-849.32,1.263073435,103.789021,365270.795,139639.1802,,328.26,-844.248,1.263112824,103.7890444,365273.3957,139643.5337
TD1_11_33,328.26,-846.414,1.263096003,103.7890344,365272.2851,139641.6745,,328.26,-849.254,1.263073947,103.7890213,365270.8289,139639.2369,,328.26,-855.85,1.263022723,103.788991,365267.4467,139633.5753,,328.26,-850.778,1.263062112,103.7890143,365270.0474,139637.9288
TD1_11_34,328.26,-852.973,1.263045066,103.7890042,365268.9219,139636.0447,,328.26,-855.813,1.26302301,103.7889911,365267.4657,139633.6071,,328.26,-862.409,1.262971786,103.7889608,365264.0836,139627.9455,,328.26,-857.337,1.263011175,103.7889841,365266.6843,139632.299
TD1_11_35,328.26,-859.531,1.262994137,103.788974,365265.5593,139630.4158,,328.26,-862.371,1.262972081,103.788961,365264.103,139627.9782,,328.26,-868.967,1.262920857,103.7889306,365260.7209,139622.3166,,328.26,-863.895,1.262960246,103.7889539,365263.3216,139626.6701
TD1_11_36,328.26,-866.061,1.262943425,103.788944,365262.211,139624.8109,,328.26,-868.901,1.26292137,103.7889309,365260.7547,139622.3733,,328.26,-875.497,1.262870145,103.7889005,365257.3726,139616.7117,,328.26,-870.425,1.262909534,103.7889239,365259.9733,139621.0652
TD1_11_37,328.26,-872.62,1.262892488,103.7889138,365258.8478,139619.1811,,328.26,-875.46,1.262870433,103.7889007,365257.3916,139616.7435,,328.26,-882.056,1.262819209,103.7888703,365254.0094,139611.0819,,328.26,-876.984,1.262858597,103.7888937,365256.6101,139615.4354
TD1_11_38,328.26,-879.434,1.262839571,103.7888824,365255.3539,139613.3325,,328.26,-882.274,1.262817516,103.7888693,365253.8977,139610.8948,,328.26,-888.87,1.262766291,103.7888389,365250.5155,139605.2333,,328.26,-883.798,1.26280568,103.7888623,365253.1162,139609.5867
TD1_11_39,328.26,-885.434,1.262792975,103.7888548,365252.2773,139608.1825,,328.26,-888.274,1.26277092,103.7888417,365250.8211,139605.7448,,328.26,-894.87,1.262719696,103.7888113,365247.439,139600.0833,,328.26,-889.798,1.262759085,103.7888347,365250.0397,139604.4367
TD2_00_1,316.5601,-617.518,1.26492782,103.7899981,365379.6107,139844.1419,,316.5601,-620.358,1.264905765,103.789985,365378.1544,139841.7042,,316.5601,-626.954,1.264854541,103.7899547,365374.7723,139836.0427,,316.5601,-621.882,1.26489393,103.789978,365377.373,139840.3961
TD2_00_2,316.5601,-624.02,1.264877326,103.7899682,365376.2767,139838.561,,316.5601,-626.86,1.264855271,103.7899551,365374.8205,139836.1233,,316.5601,-633.456,1.264804046,103.7899247,365371.4384,139830.4618,,316.5601,-628.384,1.264843435,103.7899481,365374.0391,139834.8153
TD2_00_3,316.5601,-630.528,1.264826785,103.7899382,365372.9397,139832.975,,316.5601,-633.368,1.26480473,103.7899251,365371.4835,139830.5373,,316.5601,-639.964,1.264753506,103.7898948,365368.1013,139824.8758,,316.5601,-634.892,1.264792895,103.7899181,365370.702,139829.2292
TD2_00_4,316.5601,-637.087,1.264775848,103.789908,365369.5765,139827.3452,,316.5601,-639.927,1.264753793,103.7898949,365368.1203,139824.9076,,316.5601,-646.523,1.264702569,103.7898645,365364.7382,139819.246,,316.5601,-641.451,1.264741958,103.7898879,365367.3389,139823.5995
TD2_00_5,316.5601,-643.617,1.264725137,103.7898779,365366.2282,139821.7403,,316.5601,-646.457,1.264703081,103.7898649,365364.772,139819.3027,,316.5601,-653.053,1.264651857,103.7898345,365361.3899,139813.6411,,316.5601,-647.981,1.264691246,103.7898578,365363.9906,139817.9946
TD2_00_6,316.5601,-650.176,1.2646742,103.7898477,365362.8651,139816.1105,,316.5601,-653.016,1.264652144,103.7898347,365361.4088,139813.6729,,316.5601,-659.612,1.26460092,103.7898043,365358.0267,139808.0114,,316.5601,-654.54,1.264640309,103.7898276,365360.6274,139812.3648
TD2_00_7,316.5601,-656.698,1.26462355,103.7898177,365359.5209,139810.5125,,316.5601,-659.538,1.264601495,103.7898046,365358.0646,139808.0749,,316.5601,-666.134,1.264550271,103.7897743,365354.6825,139802.4133,,316.5601,-661.062,1.26458966,103.7897976,365357.2832,139806.7668
TD2_00_8,316.5601,-663.257,1.264572613,103.7897875,365356.1577,139804.8827,,316.5601,-666.097,1.264550558,103.7897744,365354.7015,139802.4451,,316.5601,-672.693,1.264499334,103.789744,365351.3193,139796.7835,,316.5601,-667.621,1.264538723,103.7897674,365353.92,139801.137
TD2_00_9,316.5601,-669.787,1.264521902,103.7897574,365352.8094,139799.2779,,316.5601,-672.627,1.264499846,103.7897444,365351.3532,139796.8402,,316.5601,-679.223,1.264448622,103.789714,365347.971,139791.1787,,316.5601,-674.151,1.264488011,103.7897373,365350.5717,139795.5321
TD2_00_10,316.5601,-676.346,1.264470965,103.7897272,365349.4462,139793.6481,,316.5601,-679.186,1.264448909,103.7897142,365347.99,139791.2104,,316.5601,-685.782,1.264397685,103.7896838,365344.6078,139785.5489,,316.5601,-680.71,1.264437074,103.7897071,365347.2085,139789.9023
TD2_00_11,316.5601,-682.901,1.264420059,103.789697,365346.0851,139788.0217,,316.5601,-685.741,1.264398004,103.789684,365344.6289,139785.5841,,316.5601,-692.337,1.264346779,103.7896536,365341.2467,139779.9225,,316.5601,-687.265,1.264386168,103.789677,365343.8474,139784.276
