Filename,PSA_AIFO_Coordinates,,,,,,,,,,,
Format,2.1,,,,,,,,,,,
Modified on,25/09/24,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Slot Label, Raw x, Raw y, Slot Type, , 20F Front x, 20F Front y, , 20F Rear x, 20F Rear y, , 45F Front x, 45F Front y
TB3_00_16,365586.3819,140291.7208,9, ,365584.9257,140289.2831, ,365581.5435,140283.6216, ,365584.1443,140287.9751
TB3_00_17,365583.0336,140286.1159,9, ,365581.5774,140283.6783, ,365578.1952,140278.0167, ,365580.7959,140282.3702
TB3_00_18,365579.6704,140280.4861,9, ,365578.2142,140278.0485, ,365574.8321,140272.387, ,365577.4328,140276.7404
TB3_00_19,365576.3083,140274.8581,9, ,365574.8521,140272.4204, ,365571.4699,140266.7589, ,365574.0706,140271.1124
TB3_00_20,365572.9451,140269.2283,9, ,365571.4889,140266.7907, ,365568.1067,140261.1291, ,365570.7074,140265.4826
TB3_00_21,365569.5968,140263.6234,9, ,365568.1406,140261.1858, ,365564.7584,140255.5243, ,365567.3591,140259.8777
TB3_00_22,365566.2336,140257.9937,9, ,365564.7774,140255.556, ,365561.3952,140249.8945, ,365563.9959,140254.2479
TB3_00_23,365562.8894,140252.3957,9, ,365561.4332,140249.958, ,365558.051,140244.2965, ,365560.6517,140248.6499
TB3_00_24,365559.5262,140246.7659,9, ,365558.07,140244.3282, ,365554.6879,140238.6667, ,365557.2886,140243.0201
TB3_00_25,365556.1779,140241.161,9, ,365554.7217,140238.7234, ,365551.3396,140233.0618, ,365553.9403,140237.4153
TB3_00_26,365552.8148,140235.5312,9, ,365551.3585,140233.0936, ,365547.9764,140227.4321, ,365550.5771,140231.7855
TB3_00_27,365549.4536,140229.9049,9, ,365547.9974,140227.4672, ,365544.6152,140221.8057, ,365547.216,140226.1592
TB3_00_28,365546.0905,140224.2751,9, ,365544.6342,140221.8375, ,365541.2521,140216.1759, ,365543.8528,140220.5294
TB3_00_29,365542.7421,140218.6702,9, ,365541.2859,140216.2326, ,365537.9038,140210.5711, ,365540.5045,140214.9245
TB3_00_30,365539.379,140213.0405,9, ,365537.9227,140210.6028, ,365534.5406,140204.9413, ,365537.1413,140209.2947
TB3_00_31,365536.0348,140207.4425,9, ,365534.5785,140205.0048, ,365531.1964,140199.3433, ,365533.7971,140203.6967
TB3_00_32,365532.6716,140201.8127,9, ,365531.2154,140199.375, ,365527.8332,140193.7135, ,365530.4339,140198.0669
TB3_00_33,365529.3233,140196.2078,9, ,365527.867,140193.7701, ,365524.4849,140188.1086, ,365527.0856,140192.4621
TB3_00_34,365525.9601,140190.578,9, ,365524.5039,140188.1404, ,365521.1217,140182.4788, ,365523.7224,140186.8323
TB3_00_35,365522.5974,140184.9491,9, ,365521.1412,140182.5115, ,365517.7591,140176.8499, ,365520.3598,140181.2034
TB3_00_36,365519.2491,140179.3442,9, ,365517.7929,140176.9066, ,365514.4108,140171.245, ,365517.0115,140175.5985
TB3_00_37,365515.886,140173.7145,9, ,365514.4297,140171.2768, ,365511.0476,140165.6153, ,365513.6483,140169.9687
TB3_00_38,365512.4495,140167.8315,9, ,365510.9933,140165.3938, ,365507.6112,140159.7323, ,365510.2119,140164.0857
TB3_00_39,365509.3924,140162.8446,9, ,365507.9362,140160.4069, ,365504.554,140154.7454, ,365507.1547,140159.0988
TB3_11_1,365602.0733,140396.6126,1, ,365600.617,140394.1749, ,365597.2349,140388.5134, ,365599.8356,140392.8668
TB3_11_2,365598.7393,140391.0317,1, ,365597.2831,140388.5941, ,365593.9009,140382.9325, ,365596.5016,140387.286
TB3_11_3,365595.4023,140385.4457,1, ,365593.9461,140383.0081, ,365590.5639,140377.3465, ,365593.1646,140381.7
TB3_11_4,365592.0391,140379.8159,1, ,365590.5829,140377.3783, ,365587.2007,140371.7168, ,365589.8014,140376.0702
TB3_11_5,365588.6908,140374.2111,1, ,365587.2346,140371.7734, ,365583.8524,140366.1119, ,365586.4531,140370.4653
TB3_11_6,365585.3276,140368.5813,9, ,365583.8714,140366.1436, ,365580.4892,140360.4821, ,365583.09,140364.8356
TB3_11_7,365581.9834,140362.9833,9, ,365580.5272,140360.5456, ,365577.145,140354.8841, ,365579.7457,140359.2375
